cod_BCN,clase_I,clase_II,clase_III,clase_IV,clase_NC,clase_V,clase_VI,clase_VII,clase_VIII,eligible_area,share_eligible_area,ln_eligible_area
5803.0,0.0,512.06967049,1274.15804162,471.62459837,795.7079093199999,0.0,1818.8922817099901,15447.71949758,2811.80491438,2257.8523,4.4082053e-06,7.722612
5804.0,0.0,336.53029404,182.55033115999902,111.3458302,2083.00260104999,0.0,1076.72121864999,5340.4329283,506.09397024,630.42645,1.2308375e-06,6.4479814
6101.0,5872.90878969,3020.6987525999903,2384.6831145700003,416.56770743999897,3647.9752417,0.0,1647.8351098300002,6426.35,2676.98322689,11694.858,2.283291e-05,9.36699
6102.0,1222.95,2787.93377073,2682.0737876399903,1992.5255579299999,759.65860012,0.0,621.6117822399999,6417.93828198999,5227.52828419,8685.483,1.695744e-05,9.069524
6103.0,0.0,870.6452712199999,1860.39324932,965.20847205,842.57,0.0,800.5563311899989,3857.44,537.32111855,3696.247,7.216511e-06,8.215343
6104.0,1089.60621786999,3303.3322259299903,3710.00924091,1142.76225441999,777.54,0.0,650.26636301,9265.94841664999,2252.8044652599997,9245.71,1.805122e-05,9.132023
6105.0,67.4900468799999,1419.91892059,719.08252051,586.1593639499999,892.03700368,0.0,44.21,3876.89771021,450.73379096,2792.651,5.4523402e-06,7.9351044
6106.0,1664.97889348,3303.79532164,1722.07708924,677.988971469999,335.08279022,0.0,202.08543684999898,3033.54434218,305.28863476,7368.8403,1.4386841e-05,8.905151
6107.0,243.47769172,4139.35686802999,7954.471087539991,5712.33453043,6483.59058897,0.0,9947.79881389,35337.26111612,5306.70968352,18049.64,3.5239915e-05,9.800937
6108.0,1842.0245561699999,990.14929288,1160.12827714,113.15,1958.44,0.0,397.44086436,15583.7077336,18692.32753243,4105.452,8.015439e-06,8.320314
6109.0,2180.75783312999,3006.4553919600003,1963.79989497,983.5995888699999,448.6079314,0.0,294.22231957,4492.13382389,456.06350535999997,8134.613,1.5881926e-05,9.004006
6110.0,269.14153685,1824.6188430899902,3570.6159860899998,2556.73693823999,1461.5835274299998,0.0,1807.79150607,13843.5438989599,18099.48543388,8221.113,1.6050808e-05,9.014583
6111.0,2166.40049439,133.98154166999998,466.09752434,352.12401278000004,974.91005309,0.0,0.0,264.39,64.46207599,3118.6035,6.0887264e-06,8.045462
6112.0,1395.55766077,3576.48508981,1590.3923622999998,497.90210662,626.70707506,0.0,682.6170660599989,6336.26282233,814.51706786,7060.3374,1.3784523e-05,8.86239
6113.0,1673.17906509,3478.43267801,5034.61363302,5151.4390957,2240.61545596,0.0,3236.8740208699996,10780.40921238,355.39900976,15337.664,2.9945082e-05,9.638132
6114.0,36.64273336,1613.27,4291.46929198,731.81678886,276.500270479999,0.0,242.37952766,1483.1369587699999,0.0,6673.1987,1.3028678e-05,8.806005
6115.0,672.41935518,3586.6954048400003,7738.95276144,2498.3626835,975.58,0.0,212.36797757,1713.78696044,74.7805359,14496.431,2.8302667e-05,9.581727
6116.0,3260.42858602,3138.1952231099904,7592.323495449999,742.35729177,4174.8728802099995,0.0,468.53974763999895,12855.57,7369.83734511,14733.305,2.8765138e-05,9.597934
6117.0,2578.56657808,7461.699812790001,6778.492121550001,4456.58558132,1864.8619731,0.0,3174.23991939,21384.24600882,778.308974889999,21275.344,4.153774e-05,9.965351
6201.0,0.0,37.29634177,3585.8737423,8738.679851699999,1529.9507845599999,0.0,9161.2127499,47307.47978135,1134.7713702400001,12361.85,2.4135135e-05,9.422451
6202.0,0.0,182.05897531,2010.75,7065.860143329999,1500.71171027,0.0,14224.3905703,18115.1727482399,0.0,9258.669,1.807652e-05,9.133424
6203.0,0.0,205.32000054,4132.23534135,5191.59967585999,456.58232526999905,0.0,19706.60374465,31357.61421831,816.79221368,9529.155,1.8604615e-05,9.162216
6204.0,0.0,3382.9337549600004,8735.03554316,16272.64334157,1314.03717,0.0,11483.074694719999,24401.28312633,214.86855183,28390.613,5.542951e-05,10.253849
6205.0,0.0,98.66766602,1695.21763163,2516.7268267800005,511.8661871,0.0,1736.76841802,22289.3384862099,1204.24578073,4310.6123,8.415991e-06,8.369067
6206.0,0.0,30.26496138,463.05674856999997,2390.77223559,927.23149859,0.0,9638.88,43608.74786579,208.45870481,2884.094,5.6308727e-06,7.967313
6301.0,1475.3714195199998,2697.24195553,9324.49202947999,1503.94520739,2719.90006221,0.0,2008.25269523,9823.81241649,1458.93731256,15001.051,2.9287881e-05,9.615942
6302.0,1035.68541953,3038.30486909,8854.70860109,2171.71911341999,690.54787961,0.0,4422.56272508,17409.07,10114.1228624,15100.418,2.9481886e-05,9.622544
6303.0,966.38761963,3386.2075684499996,16571.07732155,2252.3762583000002,6897.24574497,0.0,1442.61713741999,17432.45338182,830.5080035699999,23176.049,4.5248657e-05,10.050918
6304.0,0.0,7799.07956466,5156.900829499999,4952.5096476399995,911.04,0.0,6876.730312829999,31874.1985955399,2137.1352002099998,17908.49,3.4964334e-05,9.793086
6305.0,547.11120083,1518.5222370000001,5500.50418881,145.0125721,1077.56636437,0.0,139.31711524000002,5853.78538740999,387.15680881,7711.1504,1.5055163e-05,8.950552
6306.0,767.3067721100001,1861.80258294,11212.90844942,1137.39582503,933.09013526,0.0,729.91381631,6478.785433749999,445.62403102999997,14979.414,2.9245639e-05,9.614499
6307.0,67.83731093999991,900.1971677699989,8668.640439320001,4168.1214333299995,1047.63979474999,0.0,6595.99727728,6838.12773842,24.16645493,13804.796,2.6952328e-05,9.532844
6308.0,667.05864987,1839.7886592099999,2541.38538887,914.59694286,944.81817784,0.0,766.9378901399999,5980.0006462,774.3662115,5962.8296,1.1641761e-05,8.693468
6309.0,0.0,4088.33204546999,6495.68809504,3436.4638994899997,486.59800475000003,0.0,6323.109212719999,23252.830022449998,53.373589200000005,14020.484,2.7373435e-05,9.548346
6310.0,608.00384288,3727.27252304,8661.54726756,1885.18844106,1607.22365803,0.0,1847.60122975,15182.61,5823.496366659991,14882.012,2.905547e-05,9.607976
7101.0,18.7624616499999,8257.71312572,3757.7450123,3314.52038287,3486.28488775,0.0,1156.81809906,2180.2111868799902,1032.8264563299902,15348.741,2.9966708e-05,9.638854
7102.0,0.0,751.79200901,4429.69730763,9278.74261400999,9278.74,0.0,21561.18792053,86433.3226676,8784.96381973,14460.231,2.8231992e-05,9.5792265
7103.0,420.53365944999996,2237.83351408,4538.76732621,4180.08,1909.13783707,0.0,10883.99184067,80411.31255465001,2528.1574967300003,11377.215,2.2212746e-05,9.339456
7104.0,0.0,0.0,3996.1439547,2494.79768114999,93.88289786,0.0,11054.617887779901,38855.1712766399,94.64413422999999,6490.9414,1.2672841e-05,8.7783165
7105.0,0.0,186.77524154000002,5260.25711624,7768.6615547500005,2599.4260807699998,0.0,2083.68632204,5054.11823267,1352.40577771,13215.694,2.5802172e-05,9.489236
7106.0,0.0,4576.70637113,9450.587868569999,10327.27612327,297.30653570000004,0.0,2302.42213170999,5166.07471413,977.8176662599999,24354.57,4.7549587e-05,10.100516
7107.0,3684.08,1307.1593905299999,6581.9469432899905,8143.63181636,1164.72362683,0.0,11114.12647723,62723.8898276599,871.9694858299989,19716.818,3.8494894e-05,9.889278
7108.0,406.71788799,12207.88911099,12181.5561349799,3541.86983458,701.98175372,0.0,4464.63422284,6699.327734879999,1786.7764797299901,28338.033,5.5326855e-05,10.251995
7109.0,641.36,15616.8288417899,15025.458208759901,12659.48,3740.01552858,0.0,7904.1783496199905,15843.91601408,1432.7720036399999,43943.13,8.579407e-05,10.690675
7110.0,17.9396401099999,2731.1056358999904,10419.41,4426.15520811,358.83464526,0.0,4063.0873126099996,3494.27965337999,789.7369512,17594.611,3.435152e-05,9.775405
7201.0,709.84632742,3261.47320305,24657.94326105,62608.45946332,2158.98436712,0.0,38808.52090006,79935.53689168,602.7281646399999,91237.72,0.0001781315,11.421235
7202.0,0.0,1167.7804151,7005.74306174,5369.93166734,249.6497014,0.0,7676.442598299999,30694.307128220004,664.2160075,13543.455,2.6442089e-05,9.513733
7203.0,0.0,289.654684519999,1501.2453574400001,4297.97,223.98,0.0,10706.90359006,19100.48389375,799.01942516,6088.87,1.18878415e-05,8.714382
7301.0,718.6102145499999,3676.2484824800003,13608.3190478599,5955.91524206,4561.21,0.0,2124.00927989,18684.30629265,955.60061784,23959.094,4.6777463e-05,10.084145
7302.0,412.47241185999997,2132.77634141,5205.8726221,4128.801435339999,1212.09810374,0.0,5308.597692169999,43834.1265395599,676.86690829,11879.923,2.3194227e-05,9.382689
7303.0,401.38951568,933.85925885,2012.91723704,803.16390684,1015.92495403,0.0,3499.4061825900003,18414.58,212.07911013,4151.33,8.10501e-06,8.331425
7304.0,524.1957503599999,1973.35075933,8965.62174427999,11806.599991289899,1603.64504022,0.0,3491.2510776999998,11906.11032462,682.03422858,23269.768,4.5431632e-05,10.054954
7305.0,204.018843699999,899.67111849,3950.4699305599997,3026.26509065,1236.84573989,0.0,3726.08464087,17380.3,249.48389669,8080.425,1.577613e-05,8.997323
7306.0,443.976991,1749.04891624,8964.97132474999,1403.1653313,1623.2136380600002,0.0,637.7591797800001,15646.651035549901,242.26274441999902,12561.162,2.4524272e-05,9.438444
7307.0,493.43418468,2465.40811608,11541.74,6317.7259375700005,2611.9471835199997,0.0,4435.95745135,26548.12904678,1027.74190298999,20818.309,4.064543e-05,9.943636
7308.0,836.9345301599999,2721.4748873399903,17796.8229228599,8924.45036103,2048.7560197499897,0.0,1020.60274319,12499.999904029999,6332.25561062,30279.684,5.9117712e-05,10.318265
7309.0,0.0,552.4180827499999,832.02,268.902733729999,2327.26741608,0.0,5977.08762480999,34744.47667522,473.81417692,1653.3408,3.227964e-06,7.411158
7401.0,196.17441037999998,3448.05809434,19266.9372894199,6257.96,3266.4416162999996,0.0,3157.4549034600004,24024.57,2482.18100254,29169.129,5.6949477e-05,10.280901
7402.0,124.37251273999999,2919.86,11366.48545301,3994.79745131,4174.5990412,0.0,760.649691239999,17142.7818684199,429.5873686,18405.516,3.593472e-05,9.82046
