cut02,year,population,dependency_rate,schooling,rural_share,sh_first_pea,sh_second_pea,sh_third_pea
3202,2002,18589,47.36800380529571,10.334235656816302,4.922265856151487,24.43467336683417,9.937185929648242,64.37185929648241
3301,2002,48040,58.74694336131121,9.086844418400235,8.930058284762698,20.12260445185097,5.904059040590406,70.74157838352578
3302,2002,4840,62.36162361623616,6.577233509602004,100.0,58.46841811067635,2.4594745667970934,37.3951928451649
3303,2002,5666,63.238259867473346,7.893579373104146,38.77515001764913,36.84776761699838,5.594405594405594,54.49166218396988
3304,2002,7945,57.4826560951437,9.117430226434966,18.879798615481434,24.957088911774804,7.140405080672846,65.46515619636114
4101,2002,160148,52.213129556233554,10.578124068633713,7.701001573544472,11.782916241503951,7.319140104806213,78.50780858165717
4102,2002,163036,53.09263345696981,9.969621906838253,5.348511985083049,13.66599085135973,9.580938657194082,74.31343308590674
4103,2002,10288,59.75155279503106,7.988447071466953,8.203732503888025,35.233322893830255,7.798308800501095,53.805198872533666
4104,2002,3721,54.14250207125103,6.601694915254237,70.9755442085461,44.729344729344724,3.0626780626780628,51.13960113960114
4105,2002,4168,62.81250000000001,8.427184466019417,100.0,44.093493367024635,5.180037902716361,50.22109917877447
4106,2002,24010,57.143792132993,8.553216103655714,46.230737192836315,43.174303259329236,7.3925366084081245,47.41379310344828
4201,2002,30355,57.14137806077548,8.227671936224834,28.097512765606986,22.738436348751534,6.426524764633647,67.3454768726975
4202,2002,9379,67.15380502584209,6.083443126921388,81.40526708604328,23.814087206516533,4.360325826545281,68.80689985625298
4203,2002,17453,56.318853560232874,8.338260869565218,26.322122271242765,23.51102079099578,5.9715491636704705,68.62591839924966
4204,2002,24494,52.73430192679429,8.29466344570111,48.19547644321058,31.346841477949937,6.2737024596380975,60.234044858597905
4301,2002,98089,58.479012505250914,8.722812161931333,24.772400574988023,31.93433793617143,5.09368016959835,60.8691915430012
4302,2002,13483,62.11374293615486,6.8333662388943734,59.25239190091226,29.833971902937424,4.444444444444445,62.630906768837804
4303,2002,30276,61.428952279392156,7.264161525518788,55.938697318007655,52.01115093588212,2.986857825567503,43.070489844683394
4304,2002,9539,62.615069894306174,7.1678321678321675,62.102945801446694,51.10876451953538,5.913410770855332,40.58430130235832
4305,2002,4771,67.05182072829132,6.681701398801028,100.0,50.685920577617324,4.981949458483754,41.588447653429604
5101,2002,275982,48.56992124203941,10.447645343513601,0.304730018624403,2.150113978555146,8.79088922034916,87.01394947419769
5102,2002,21874,55.002834467120174,8.919177306748852,30.46996434122703,24.503390032116094,16.046152016176997,57.880337813726655
5103,2002,32273,51.3529991089434,10.642969916791124,2.2154742354289962,5.407517386887552,9.517855747440807,83.30077361881692
5104,2002,633,42.88939051918736,9.695833333333333,5.529225908372828,35.52238805970149,2.6865671641791042,60.895522388059696
5105,2002,12954,53.39253996447603,9.053162991963735,14.319901188821985,13.905508561997113,7.551062512894574,76.85166082112647
5106,2002,128578,51.68581742679849,10.85255840106323,1.3104885750283874,2.7627065793576553,10.048851470741086,85.12212867685271
5107,2002,21174,57.04220129051399,9.835824725732982,11.594408236516482,12.8475935828877,10.334224598930481,74.29144385026738
5108,2002,95623,53.26900575421949,10.838520035918734,0.8585800487330453,3.0616890507625767,9.978943774186206,84.7968358752561
5109,2002,286931,49.318796835970026,11.170929077188868,0.0,1.5996351866092027,8.56149072765965,87.94953414760636
5201,2002,3791,51.70068027210885,10.384731670445957,12.846214719071487,8.7882096069869,9.388646288209607,81.33187772925764
5301,2002,60198,49.95889694342725,10.384005020845475,7.990298681019303,12.223607647547798,7.497921862011638,78.44970906068163
5302,2002,10393,53.94756332395201,8.628522742168043,47.58972385259309,36.760925449871465,6.966580976863754,54.37017994858612
5303,2002,6692,54.69255663430421,8.37131751227496,14.42020322773461,40.790513833992094,5.059288537549407,52.72727272727272
5304,2002,14400,51.48327372185988,8.505873508128936,47.625,33.2381292395573,5.4801856479828635,59.835772938236346
5401,2002,31987,52.507866882807285,8.606140500085049,24.300497076937503,20.715206185567013,18.355347938144327,58.706507731958766
5402,2002,18916,55.9439406430338,8.133551457465794,34.16684288433072,41.888437828897914,6.074274545181176,49.91730566832055
