cut_2026,year,bonus_total_uf
04302,2016,3534.32
04302,2017,12437.17
04302,2018,5076.44
04302,2019,825.82
04303,1988,19988.78
04303,1992,2964.2200000000003
04303,1993,493.89
04303,1994,637.44
04303,1995,10644.41
04303,1996,4720.2
04303,1997,10853.2
04303,1998,24625.0
04303,1999,2394.8399999999997
04303,2000,2356.74
04303,2001,5492.2
04303,2002,8496.68
04303,2003,18100.010000000002
04303,2004,21530.56
04303,2005,4799.050000000001
04303,2006,18421.93
04303,2007,22322.899999999998
04303,2008,15346.99
04303,2009,15373.43
04303,2010,20726.8
04303,2011,6673.71
04303,2012,20093.97
04303,2013,6567.85
04303,2014,27446.97
04303,2015,42196.25
04303,2016,47378.4
04303,2017,63260.06
04303,2018,24211.89
04303,2019,46418.11
04304,1988,13667.74
04304,1989,13863.79
04304,1990,2001.94
04304,1991,710.48
04304,1992,4418.17
04304,1993,2041.04
04304,1994,3570.77
04304,1995,1926.4
04304,1996,1881.5
04304,1997,1328.27
04304,1998,3075.23
04304,1999,6063.65
04304,2000,2057.36
04304,2001,2626.72
04304,2002,5795.77
04304,2003,7110.56
04304,2004,21392.35
04304,2005,10788.04
04304,2006,44896.82
04304,2007,19628.65
04304,2008,24389.68
04304,2009,42787.34
04304,2010,25942.05
04304,2011,14626.47
04304,2012,13339.72
04304,2013,23514.7
04304,2014,15873.4
04304,2015,28063.69
04304,2016,68017.68
04304,2017,76998.13
04304,2018,56200.84
04304,2019,34451.01
04305,1993,5955.1
04305,1996,8651.55
04305,1998,9453.460000000001
04305,2000,409.14
04305,2005,2695.02
04305,2006,1620.53
04305,2007,2114.99
04305,2008,1175.63
04305,2009,12317.03
04305,2010,685.14
04305,2011,502.63
04305,2012,463.49
04305,2013,1289.5
04305,2014,3186.24
04305,2015,5430.09
04305,2016,6375.03
04305,2017,2306.5
04305,2018,14279.45
04305,2019,19146.0
05101,1989,956.53
05101,2001,281.9
05101,2009,3628.11
05101,2012,816.36
05102,1987,1514.24
05102,1988,6821.57
05102,1989,18128.59
05102,1990,9569.85
05102,1991,10127.73
05102,1992,8166.32
05102,1993,12893.26
05102,1994,14410.369999999999
05102,1995,7817.55
05102,1996,17080.760000000002
05102,1997,11821.68
05102,1998,5480.1
05102,1999,4195.07
05102,2000,6731.76
05102,2002,2817.8199999999997
05102,2003,2805.24
05102,2004,1255.25
05102,2005,1857.01
05102,2006,7560.8
05102,2007,6895.4400000000005
05102,2008,6046.72
05102,2009,8630.87
05102,2010,2001.38
05102,2011,4321.53
05102,2012,3437.4700000000003
05102,2013,3854.7
05102,2014,4130.95
05102,2015,4615.1
05102,2016,2349.3
05102,2017,3770.41
05102,2018,677.46
05102,2019,9510.07
05105,1988,1084.3
05105,1992,942.62
05105,1995,657.98
05105,1996,804.74
05105,1999,563.57
05105,2000,375.56
05105,2014,615.42
05109,1989,2551.04
05201,2019,3290.12
05301,1988,761.53
05301,1989,699.33
05301,1990,374.12
05301,1993,368.0
05301,1995,361.9
05301,1996,789.37
05301,1997,1941.79
05301,1998,963.47
05301,2006,770.42
05301,2007,761.02
05301,2009,398.29
05301,2011,1639.36
05301,2013,9300.34
05301,2014,1584.31
05301,2015,18485.86
05301,2016,4307.08
05301,2019,18456.59
05302,1989,3650.99
05302,1992,945.64
05302,1997,3979.09
05302,1998,1793.54
05302,1999,387.62
05302,2000,2652.39
05302,2001,914.77
05302,2002,4673.89
05302,2003,429.95
05302,2004,2109.7
05302,2005,8430.38
05302,2006,3625.39
05302,2007,192.99
05302,2008,868.14
05302,2010,15475.320000000002
05302,2011,1858.12
05302,2013,860.49
05302,2014,2286.73
05302,2015,2873.35
05302,2016,751.4
05302,2017,2918.1
05302,2018,7548.72
05302,2019,5607.2
05303,1988,2936.7
05303,1998,7520.47
05303,1999,477.46
05303,2000,1429.95
05303,2001,345.07
05303,2003,64.17
05303,2004,560.77
05303,2006,1233.65
05303,2007,2627.14
05303,2008,1069.46
05303,2009,837.78
05303,2011,376.31
05303,2013,3553.72
05303,2014,434.45
05303,2015,3160.04
05303,2016,1311.87
05303,2017,1723.28
05304,1987,2242.89
05304,1988,3277.69
05304,1989,4228.66
05304,1990,2973.1899999999996
05304,1991,3462.31
05304,1993,335.92
05304,1994,2526.61
05304,1995,1327.65
05304,1997,1054.62
05304,1998,4992.860000000001
05304,1999,960.12
05304,2000,1036.3
05304,2001,11822.9
05304,2002,5618.29
05304,2003,7734.02
05304,2004,6082.86
05304,2005,3516.4399999999996
05304,2006,5431.299999999999
05304,2007,5341.24
05304,2008,5248.18
05304,2009,2958.4900000000002
05304,2010,1290.38
05304,2012,911.19
05304,2013,2097.4700000000003
05304,2014,783.18
05304,2015,1189.9
05304,2017,3761.93
05304,2018,8143.97
05304,2019,7961.37
05401,1987,2373.2
05401,1988,22160.97
05401,1989,10519.52
05401,1990,913.78
05401,1991,7363.21
05401,1992,3095.1900000000005
05401,1993,12130.75
05401,1994,22096.03
05401,1995,18237.93
05401,1996,30556.21
05401,1997,31423.49
05401,1998,10985.4
05401,1999,13501.57
05401,2000,3805.46
05401,2001,702.05
05401,2002,493.09
05401,2003,14025.84
05401,2004,4924.900000000001
05401,2005,3386.45
05401,2006,9357.18
05401,2007,2503.41
05401,2008,474.72
05401,2009,3803.21
05401,2010,5785.879999999999
05401,2011,758.63
05401,2012,987.5
05401,2013,8339.89
05401,2014,5761.96
05401,2015,1891.3200000000002
05401,2016,995.9300000000001
05401,2017,19995.31
05401,2018,8558.8
05401,2019,4649.389999999999
